gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000000003	2.28	2.44	0.46	2.18	0.78	0.59	3.21	0.58
ENSG00000000005	0.04	0.02	0.00	0.50	0.00	0.08	0.34	0.00
ENSG00000000419	48.83	31.24	44.83	31.13	38.81	31.52	45.05	12.16
ENSG00000000457	4.31	6.80	7.44	8.52	7.74	3.76	7.28	4.93
ENSG00000000460	5.63	4.38	15.72	5.38	9.40	8.05	12.29	9.46
ENSG00000000938	4.25	26.13	5.76	11.14	10.97	19.46	39.50	16.28
ENSG00000000971	17.31	20.51	4.41	10.16	7.30	4.39	32.85	2.37
ENSG00000001036	17.00	16.47	13.36	24.07	9.28	22.94	28.73	12.05
ENSG00000001084	4.83	10.48	15.77	5.71	7.37	22.55	4.41	18.95
ENSG00000001167	4.55	14.33	12.84	14.31	14.91	12.57	10.91	13.99
ENSG00000001460	2.81	1.53	2.86	4.45	4.77	3.19	2.10	2.59
ENSG00000001461	4.09	6.55	5.71	13.35	9.67	5.27	4.41	5.11
ENSG00000001497	16.18	24.01	36.10	15.68	42.19	29.88	28.45	30.22
ENSG00000001561	4.71	4.75	6.55	4.64	10.05	2.66	5.32	2.73
ENSG00000001617	0.91	2.96	2.34	1.58	2.76	1.57	3.28	0.59
ENSG00000001626	0.07	0.10	0.00	0.00	0.00	0.00	0.00	0.02
ENSG00000001629	11.05	12.01	12.70	15.98	15.07	12.51	8.75	16.38
ENSG00000001630	8.34	9.27	16.04	8.86	6.52	6.52	12.16	3.13
ENSG00000001631	8.45	17.69	22.18	23.65	19.73	23.65	12.76	36.96
ENSG00000002016	3.93	10.96	7.60	12.97	8.27	8.94	6.43	16.92
ENSG00000002079	0.01	0.11	0.01	0.07	0.00	0.00	0.00	0.00
ENSG00000002330	32.56	17.26	17.53	20.25	15.23	23.23	25.22	10.21
ENSG00000002549	101.90	81.24	77.60	69.96	57.83	43.35	103.39	25.70
ENSG00000002586	71.36	135.60	50.11	83.29	280.36	129.05	204.39	67.10
ENSG00000002587	0.80	0.67	0.60	2.37	1.11	0.15	0.97	0.48
ENSG00000002726	0.03	5.83	0.19	0.07	0.05	0.10	0.79	0.11
ENSG00000002745	0.18	0.70	0.16	0.12	0.22	0.15	0.31	0.09
ENSG00000002746	0.00	0.04	0.00	0.01	0.01	0.01	0.18	0.00
ENSG00000002822	53.00	18.33	10.10	13.64	20.47	14.52	9.48	34.56
ENSG00000002834	29.77	62.78	45.05	92.44	89.30	75.32	93.88	45.92
ENSG00000002919	22.01	18.38	21.86	13.89	44.10	19.42	18.33	17.75
ENSG00000002933	59.43	50.04	34.37	29.68	36.24	58.13	42.32	28.08
ENSG00000003056	83.72	80.09	47.38	67.21	62.93	87.69	79.16	71.75
ENSG00000003096	0.16	0.38	1.87	0.10	0.10	0.05	0.34	0.08
ENSG00000003137	0.78	3.90	1.19	2.05	2.28	1.00	4.87	0.73
ENSG00000003147	4.37	11.37	0.90	4.55	3.06	5.18	14.51	1.69
ENSG00000003249	9.64	2.72	0.65	1.06	4.20	0.82	28.94	0.31
ENSG00000003393	2.21	3.52	5.15	3.95	3.69	3.86	3.63	4.37
ENSG00000003400	4.19	6.67	1.82	9.98	4.34	2.08	2.21	2.87
ENSG00000003402	95.14	74.05	92.31	88.98	222.23	65.01	37.50	113.04
ENSG00000003436	11.10	7.43	14.42	11.17	11.18	5.90	4.98	6.43
ENSG00000003509	14.45	12.48	12.55	12.91	19.23	16.92	11.70	18.65
ENSG00000003756	69.67	140.01	144.13	177.60	94.88	148.34	73.59	145.33
ENSG00000003987	0.37	0.57	0.41	0.59	0.64	0.44	0.39	0.38
ENSG00000003989	0.42	1.19	0.25	1.47	0.54	0.20	0.49	0.20
ENSG00000004059	74.98	76.20	92.73	50.26	87.39	115.94	145.40	114.64
ENSG00000004139	0.43	2.08	1.72	2.74	1.86	1.92	1.97	0.51
ENSG00000004142	19.25	24.62	43.44	22.20	33.90	38.63	40.38	22.13
ENSG00000004399	40.30	55.04	15.81	78.17	47.85	57.06	46.66	72.89
ENSG00000004455	66.81	52.41	109.94	65.53	109.05	83.11	97.66	63.80
ENSG00000004468	7.68	8.52	5.71	7.36	12.59	14.43	27.25	7.43
ENSG00000004478	28.94	27.55	57.90	30.70	31.21	44.65	50.55	20.86
ENSG00000004487	12.68	23.09	25.45	22.41	33.81	23.28	23.04	18.17
ENSG00000004534	91.23	119.08	85.30	107.32	87.83	115.96	116.22	159.89
ENSG00000004660	0.70	2.67	1.08	1.71	1.74	1.02	1.11	1.53
ENSG00000004700	15.22	28.05	34.16	24.73	33.93	18.52	28.14	16.03
ENSG00000004766	10.24	10.84	7.14	10.18	8.34	7.17	8.85	10.47
ENSG00000004776	2.88	11.81	1.37	4.84	0.98	0.65	1.78	1.26
ENSG00000004777	2.17	4.64	6.52	9.07	8.84	15.77	5.28	5.23
ENSG00000004779	121.93	52.07	88.69	38.09	49.63	67.22	69.37	31.56
ENSG00000004799	2.27	8.95	2.71	27.28	1.79	1.74	1.66	0.99
ENSG00000004809	0.06	0.24	0.08	0.16	0.15	0.07	0.00	1.05
ENSG00000004838	0.89	0.98	2.11	1.47	0.83	1.33	0.49	2.05
ENSG00000004846	0.10	0.09	0.15	0.12	0.14	0.13	0.14	0.08
ENSG00000004848	0.00	0.03	0.03	0.46	0.00	0.02	3.09	0.00
ENSG00000004864	5.87	7.23	10.63	5.49	6.63	7.21	18.19	15.37
ENSG00000004866	6.07	5.23	5.43	6.29	5.02	7.68	9.49	10.18
ENSG00000004897	9.15	15.64	19.36	18.89	22.71	12.64	22.42	9.87
ENSG00000004939	0.00	0.02	0.13	0.10	0.13	0.02	0.03	0.03
ENSG00000004948	0.01	0.06	0.00	0.02	0.01	0.00	0.07	0.04
ENSG00000004961	13.04	9.73	21.42	11.18	26.14	12.35	18.28	8.29
ENSG00000004975	10.68	13.90	16.96	16.78	17.95	19.43	14.02	8.21
ENSG00000005001	0.00	2.59	0.03	0.03	0.00	0.03	0.00	0.00
ENSG00000005007	20.06	26.13	34.53	25.19	39.91	29.33	22.31	21.80
ENSG00000005020	27.69	14.44	29.49	23.35	41.03	13.30	24.91	8.85
ENSG00000005022	269.18	199.71	297.67	156.75	561.04	147.27	626.81	201.05
ENSG00000005059	33.44	25.33	21.28	17.63	20.32	30.08	19.27	6.29
ENSG00000005073	0.23	0.00	2.15	0.14	0.10	0.58	0.15	0.00
ENSG00000005075	109.69	37.76	58.01	50.77	47.60	69.12	75.81	154.26
ENSG00000005100	2.72	5.59	14.58	4.77	8.77	10.02	4.56	7.12
ENSG00000005102	7.65	6.38	2.11	5.22	2.26	6.32	0.84	4.14
ENSG00000005108	0.16	0.24	0.05	0.19	0.30	0.12	0.57	0.04
ENSG00000005156	1.40	5.54	10.34	6.95	9.31	7.24	4.57	4.91
ENSG00000005175	21.15	24.13	18.15	19.74	29.84	18.27	29.82	9.53
ENSG00000005187	4.16	2.00	5.97	1.80	2.42	2.43	0.50	3.11
ENSG00000005189	0.54	1.66	2.75	2.33	2.12	3.04	3.44	1.72
ENSG00000005194	16.45	17.94	27.25	14.84	21.12	18.19	21.63	17.80
ENSG00000005206	15.30	42.11	45.03	49.11	42.18	44.63	27.52	37.05
ENSG00000005238	2.12	6.75	3.61	4.64	3.75	4.25	5.77	3.35
ENSG00000005243	6.68	5.09	2.07	5.41	2.83	2.35	21.54	5.39
ENSG00000005249	2.93	5.94	8.20	6.72	1.81	3.04	2.59	3.87
ENSG00000005302	93.85	69.52	80.27	47.25	86.19	45.81	20.24	38.06
ENSG00000005339	10.23	12.04	14.24	16.68	15.36	9.23	10.19	7.18
ENSG00000005379	19.88	22.56	4.13	6.22	14.32	49.26	5.21	13.92
ENSG00000005381	0.03	0.17	0.20	0.07	0.19	0.04	0.10	0.01
ENSG00000005421	0.05	0.00	0.11	0.06	0.00	0.12	0.05	0.29
ENSG00000005436	18.81	9.13	8.87	7.48	11.02	13.62	8.31	17.56
